constituency_id,state_id,state_name,constituency_name,raw_caption,reservation_category,canonical_state_key
1,35,Andaman And Nicobar Islands,Andaman And Nicobar Islands,ANDAMAN AND NICOBAR ISLANDS,General,andaman and nicobar islands
2,2,Andhra Pradesh,Anakapalle,ANAKAPALLE,General,andhra pradesh
3,2,Andhra Pradesh,Hindupur,HINDUPUR,General,andhra pradesh
4,2,Andhra Pradesh,Vijayawada,VIJAYAWADA,General,andhra pradesh
5,2,Andhra Pradesh,Nandyal,NANDYAL,General,andhra pradesh
7,2,Andhra Pradesh,Amalapuram,AMALAPURAM(SC),SC,andhra pradesh
8,2,Andhra Pradesh,Bapatla,BAPATLA,General,andhra pradesh
9,2,Andhra Pradesh,Araku,ARAKU(ST),ST,andhra pradesh
10,2,Andhra Pradesh,Nellore,NELLORE(SC),SC,andhra pradesh
11,2,Andhra Pradesh,Tirupati,TIRUPATI(SC),SC,andhra pradesh
12,2,Andhra Pradesh,Anantapur,ANANTAPUR,General,andhra pradesh
13,2,Andhra Pradesh,Srikakulam,SRIKAKULAM,General,andhra pradesh
14,2,Andhra Pradesh,Ongole,ONGOLE,General,andhra pradesh
15,2,Andhra Pradesh,Eluru,ELURU,General,andhra pradesh
16,2,Andhra Pradesh,Narasapuram,NARASAPURAM,General,andhra pradesh
17,2,Andhra Pradesh,Rajahmundry,RAJAHMUNDRY,General,andhra pradesh
18,2,Andhra Pradesh,Guntur,GUNTUR,General,andhra pradesh
19,2,Andhra Pradesh,Narasaraopet,NARASARAOPET,General,andhra pradesh
20,2,Andhra Pradesh,Visakhapatnam,VISAKHAPATNAM,General,andhra pradesh
21,2,Andhra Pradesh,Kadapa,KADAPA,General,andhra pradesh
22,2,Andhra Pradesh,Machilipatnam,MACHILIPATNAM,General,andhra pradesh
23,2,Andhra Pradesh,Kurnool,KURNOOL,General,andhra pradesh
24,2,Andhra Pradesh,Vizianagaram,VIZIANAGARAM,General,andhra pradesh
25,2,Andhra Pradesh,Chittoor,CHITTOOR,General,andhra pradesh
26,2,Andhra Pradesh,Rajampet,RAJAMPET,General,andhra pradesh
27,2,Andhra Pradesh,Kakinada,KAKINADA,General,andhra pradesh
28,3,Arunachal Pradesh,Arunachal West,ARUNACHAL WEST,General,arunachal pradesh
29,3,Arunachal Pradesh,Arunachal East,ARUNACHAL EAST,General,arunachal pradesh
30,5,Assam,Barpeta,BARPETA,General,assam
31,5,Assam,Darrang-udalguri,DARRANG-UDALGURI,General,assam
32,5,Assam,Lakhimpur,LAKHIMPUR,General,assam
33,5,Assam,Dibrugarh,DIBRUGARH,General,assam
34,5,Assam,Jorhat,JORHAT,General,assam
35,5,Assam,Diphu,DIPHU (ST),ST,assam
