project_id,reported_date,physical_progress_pct,financial_progress_pct,current_stage,days_delayed,milestone_status,inspected_by,inspection_date,inspection_remarks,geo_latitude,geo_longitude,photo_evidence_url
MPLADS-2024-0001,2024-11-15,100.0,96.67,Completed,0,Completed,District Executive Engineer,2024-11-10,Site inspected. Physical execution at 100.0%. Milestone: Completed.,20.5937,78.9629,https://mplads.gov.in/photos/MPLADS-2024-0001_inspection.jpg
MPLADS-2024-0002,2024-11-15,65.0,90.0,Structure,0,On Track,District Executive Engineer,2024-11-10,Site inspected. Physical execution at 65.0%. Milestone: On Track.,20.9937,79.3629,https://mplads.gov.in/photos/MPLADS-2024-0002_inspection.jpg
MPLADS-2024-0003,2024-11-15,65.0,87.5,Structure,0,On Track,District Executive Engineer,2024-11-10,Site inspected. Physical execution at 65.0%. Milestone: On Track.,21.3937,79.7629,https://mplads.gov.in/photos/MPLADS-2024-0003_inspection.jpg
MPLADS-2024-0004,2024-11-15,100.0,98.33,Completed,0,Completed,District Executive Engineer,2024-11-10,Site inspected. Physical execution at 100.0%. Milestone: Completed.,21.7937,80.1629,https://mplads.gov.in/photos/MPLADS-2024-0004_inspection.jpg
MPLADS-2024-0005,2024-11-15,35.0,57.14,Foundation,95,Critical,District Executive Engineer,2024-11-10,Site inspected. Physical execution at 35.0%. Milestone: Critical.,22.1937,80.5629,https://mplads.gov.in/photos/MPLADS-2024-0005_inspection.jpg
MPLADS-2024-0006,2024-11-15,100.0,97.22,Completed,0,Completed,District Executive Engineer,2024-11-10,Site inspected. Physical execution at 100.0%. Milestone: Completed.,22.5937,80.9629,https://mplads.gov.in/photos/MPLADS-2024-0006_inspection.jpg
MPLADS-2024-0007,2024-11-15,10.0,40.0,Contract Awarded,0,On Track,District Executive Engineer,2024-11-10,Site inspected. Physical execution at 10.0%. Milestone: On Track.,22.9937,81.3629,https://mplads.gov.in/photos/MPLADS-2024-0007_inspection.jpg
MPLADS-2024-0008,2024-11-15,100.0,97.5,Completed,0,Completed,District Executive Engineer,2024-11-10,Site inspected. Physical execution at 100.0%. Milestone: Completed.,23.3937,81.7629,https://mplads.gov.in/photos/MPLADS-2024-0008_inspection.jpg
MPLADS-2024-0009,2024-11-15,100.0,98.75,Completed,0,Completed,District Executive Engineer,2024-11-10,Site inspected. Physical execution at 100.0%. Milestone: Completed.,23.7937,82.1629,https://mplads.gov.in/photos/MPLADS-2024-0009_inspection.jpg
MPLADS-2024-0010,2024-11-15,65.0,20.0,Structure,0,On Track,District Executive Engineer,2024-11-10,Site inspected. Physical execution at 65.0%. Milestone: On Track.,24.1937,82.5629,https://mplads.gov.in/photos/MPLADS-2024-0010_inspection.jpg
MPLADS-2024-0011,2024-11-15,65.0,87.5,Structure,0,On Track,District Executive Engineer,2024-11-10,Site inspected. Physical execution at 65.0%. Milestone: On Track.,24.5937,82.9629,https://mplads.gov.in/photos/MPLADS-2024-0011_inspection.jpg
MPLADS-2024-0012,2024-11-15,65.0,53.33,Structure,0,On Track,District Executive Engineer,2024-11-10,Site inspected. Physical execution at 65.0%. Milestone: On Track.,24.9937,83.3629,https://mplads.gov.in/photos/MPLADS-2024-0012_inspection.jpg
MPLADS-2024-0013,2024-11-15,65.0,33.33,Structure,0,On Track,District Executive Engineer,2024-11-10,Site inspected. Physical execution at 65.0%. Milestone: On Track.,25.3937,83.7629,https://mplads.gov.in/photos/MPLADS-2024-0013_inspection.jpg
MPLADS-2024-0014,2024-11-15,100.0,98.21,Completed,0,Completed,District Executive Engineer,2024-11-10,Site inspected. Physical execution at 100.0%. Milestone: Completed.,25.7937,84.1629,https://mplads.gov.in/photos/MPLADS-2024-0014_inspection.jpg
MPLADS-2024-0015,2024-11-15,10.0,12.5,Contract Awarded,0,On Track,District Executive Engineer,2024-11-10,Site inspected. Physical execution at 10.0%. Milestone: On Track.,26.1937,84.5629,https://mplads.gov.in/photos/MPLADS-2024-0015_inspection.jpg
MPLADS-2024-0016,2024-11-15,65.0,66.67,Structure,0,On Track,District Executive Engineer,2024-11-10,Site inspected. Physical execution at 65.0%. Milestone: On Track.,26.5937,84.9629,https://mplads.gov.in/photos/MPLADS-2024-0016_inspection.jpg
MPLADS-2024-0017,2024-11-15,100.0,98.57,Completed,0,Completed,District Executive Engineer,2024-11-10,Site inspected. Physical execution at 100.0%. Milestone: Completed.,26.9937,85.3629,https://mplads.gov.in/photos/MPLADS-2024-0017_inspection.jpg
MPLADS-2024-0018,2024-11-15,35.0,47.37,Foundation,95,Critical,District Executive Engineer,2024-11-10,Site inspected. Physical execution at 35.0%. Milestone: Critical.,27.3937,85.7629,https://mplads.gov.in/photos/MPLADS-2024-0018_inspection.jpg
MPLADS-2024-0019,2024-11-15,100.0,98.67,Completed,0,Completed,District Executive Engineer,2024-11-10,Site inspected. Physical execution at 100.0%. Milestone: Completed.,27.7937,86.1629,https://mplads.gov.in/photos/MPLADS-2024-0019_inspection.jpg
MPLADS-2024-0020,2024-11-15,65.0,33.33,Structure,0,On Track,District Executive Engineer,2024-11-10,Site inspected. Physical execution at 65.0%. Milestone: On Track.,28.1937,86.5629,https://mplads.gov.in/photos/MPLADS-2024-0020_inspection.jpg
