project_id,delay_days,is_delayed,sanction_sla_delay_days,planned_duration_days,actual_duration_days,project_duration,project_duration_days,elapsed_duration_days,admin_sanction_duration_days,tendering_duration_days,total_planned_lifecycle_days,utilization_ratio_sanctioned,utilization_ratio_released,utilization_ratio,cost_deviation_sanction,cost_deviation_sanction_pct,cost_deviation_expenditure,cost_deviation_expenditure_pct,cost_deviation,has_cost_overrun,unreleased_allocation,planned_schedule_pct,progress_gap_schedule,progress_gap,progress_gap_fin_phy,is_schedule_lagging,is_disbursement_skewed,category_mean_cost,category_median_cost,category_std_cost,category_min_cost,category_max_cost,category_project_count,cost_per_category,cost_relative_to_category,cost_category_zscore
MPLADS-2024-0001,-10,False,0,128,118.0,118,118,113,25,15,168,0.9667,0.9667,0.9667,0.0,0.0,-50000.0,-3.33,-50000.0,False,0.0,100.0,0.0,0.0,-3.33,False,False,1775000.0,1650000.0,917877.99,800000.0,3000000.0,4,1775000.0,0.8451,-0.2996
MPLADS-2024-0002,0,False,0,164,,87,87,87,42,19,225,0.72,0.9,0.9,0.0,0.0,-700000.0,-28.0,-700000.0,False,500000.0,53.05,-11.95,-11.95,25.0,False,True,2433333.33,2500000.0,404145.19,2000000.0,2800000.0,3,2433333.33,1.0274,0.165
MPLADS-2024-0003,0,False,0,207,,71,71,71,45,21,273,0.4375,0.875,0.875,-300000.0,-8.57,-1800000.0,-56.25,-1800000.0,False,1600000.0,34.3,-30.7,-30.7,22.5,False,True,3900000.0,4000000.0,655743.85,3200000.0,4500000.0,3,3900000.0,0.8205,-1.0675
MPLADS-2024-0004,-5,False,0,92,87.0,87,87,123,18,17,127,0.9833,0.9833,0.9833,0.0,0.0,-20000.0,-1.67,-20000.0,False,0.0,100.0,0.0,0.0,-1.67,False,False,2333333.33,2000000.0,1331665.62,1200000.0,3800000.0,3,2333333.33,0.5143,-0.8511
MPLADS-2024-0005,95,True,0,127,,97,97,97,45,21,193,0.2857,0.5714,0.5714,-300000.0,-6.67,-3000000.0,-71.43,-3000000.0,False,2100000.0,76.38,41.38,41.38,22.14,True,True,3466666.67,4200000.0,1814754.35,1400000.0,4800000.0,3,3466666.67,1.2115,0.4041
MPLADS-2024-0006,-5,False,0,70,65.0,65,65,116,17,17,104,0.9722,0.9722,0.9722,0.0,0.0,-50000.0,-2.78,-50000.0,False,0.0,100.0,0.0,0.0,-2.78,False,False,1800000.0,1800000.0,0.0,1800000.0,1800000.0,1,1800000.0,1.0,0.0
MPLADS-2024-0007,0,False,0,161,,56,56,56,41,26,228,0.2,0.4,0.4,0.0,0.0,-1600000.0,-80.0,-1600000.0,False,1000000.0,34.78,24.78,24.78,30.0,True,True,2433333.33,2500000.0,404145.19,2000000.0,2800000.0,3,2433333.33,0.8219,-1.0722
MPLADS-2024-0008,-2,False,0,51,49.0,49,49,128,18,10,79,0.975,0.975,0.975,0.0,0.0,-20000.0,-2.5,-20000.0,False,0.0,100.0,0.0,0.0,-2.5,False,False,1775000.0,1650000.0,917877.99,800000.0,3000000.0,4,1775000.0,0.4507,-1.0622
MPLADS-2024-0009,-3,False,0,49,46.0,46,46,110,17,16,82,0.9875,0.9875,0.9875,0.0,0.0,-50000.0,-1.25,-50000.0,False,0.0,100.0,0.0,0.0,-1.25,False,False,3900000.0,4000000.0,655743.85,3200000.0,4500000.0,3,3900000.0,1.0256,0.1525
MPLADS-2024-0010,0,False,0,217,,66,66,66,41,23,281,0.1,0.2,0.2,-200000.0,-9.09,-1800000.0,-90.0,-1800000.0,False,1000000.0,30.41,-34.59,-34.59,-45.0,False,False,2333333.33,2000000.0,1331665.62,1200000.0,3800000.0,3,2333333.33,0.8571,-0.2503
