dataset_name,column_index,column_name,inferred_data_type,total_rows,non_null_count,null_count,null_percentage,unique_count,unique_percentage,duplicate_count,min_value,max_value,mean,median,std_dev,distribution_summary,sample_values,data_quality_issues
esakshi_calamity_relief.csv,1,s_no,INTEGER,12,12,0,0.0,12,100.0,0,1,12,6.50,6.50,3.45,Min: 1 | Q1: 3.75 | Med: 6.50 | Q3: 9.25 | Max: 12,3 | 5 | 1 | 9,"Candidate Primary Key (100% unique, 0% null)"
esakshi_calamity_relief.csv,2,mp_name,STRING,12,12,0,0.0,10,83.33,2,Andimuthu Raja,Shri Gurjeet Singh Aujla,,,,Shafi Parambil: 2 (16.7%); Shri Nk Premachandran: 2 (16.7%); Shri Gurjeet Singh Aujla: 1 (8.3%); Gurmeet Singh Meet Hayer: 1 (8.3%); and 6 other distinct values,Shafi Parambil | Gurmeet Singh Meet Hayer | K Radhakrishnan | Andimuthu Raja,No quality anomalies detected (Clean)
esakshi_calamity_relief.csv,3,house_of_parliament,STRING,12,12,0,0.0,1,8.33,11,Lok Sabha,Lok Sabha,,,,Lok Sabha: 12 (100.0%),Lok Sabha,Single unique value across all rows
esakshi_calamity_relief.csv,4,tenure,STRING,12,12,0,0.0,1,8.33,11,18th Lok Sabha,18th Lok Sabha,,,,18th Lok Sabha: 12 (100.0%),18th Lok Sabha,Single unique value across all rows
esakshi_calamity_relief.csv,5,calamity_name,STRING,12,12,0,0.0,6,50.0,6,Flood 2025 in Punjab,Andhra Pradesh rainfall and consequent floods - 2024,,,,Flood 2025 in Punjab: 3 (25.0%); Meppadi landslides 2024: 3 (25.0%); Vilangad Landslides 2024: 2 (16.7%); Wayanad landslides 2024: 2 (16.7%); and 2 other distinct values,Natural Calamity Affected Area | Andhra Pradesh rainfall and consequent floods - 2024 | Flood 2025 in Punjab | Vilangad Landslides 2024,No quality anomalies detected (Clean)
esakshi_calamity_relief.csv,6,calamity_type,STRING,12,12,0,0.0,2,16.67,10,State Calamity,National Calamity,,,,National Calamity: 7 (58.3%); State Calamity: 5 (41.7%),State Calamity | National Calamity,No quality anomalies detected (Clean)
esakshi_calamity_relief.csv,7,consented_amount_inr,FLOAT,12,12,0,0.0,6,50.0,6,500000.00,10000000.00,3380616.67,2500000.00,2937619.70,Min: 500000.00 | Q1: 1000000.00 | Med: 2500000.00 | Q3: 3641850.00 | Max: 10000000.00,7067400.00 | 500000.00 | 2500000.00 | 10000000.00,No quality anomalies detected (Clean)
esakshi_calamity_relief.csv,8,consented_amount_lakhs,FLOAT,12,12,0,0.0,6,50.0,6,5.00,100.00,33.81,25.00,29.38,Min: 5.00 | Q1: 10.00 | Med: 25.00 | Q3: 36.42 | Max: 100.00,75.0 | 25.0 | 5.0 | 70.67,No quality anomalies detected (Clean)
esakshi_calamity_relief.csv,9,consent_date,DATE,12,12,0,0.0,11,91.67,1,01-Mar-2025,26-Mar-2025,,,,07-Dec-2024: 2 (16.7%); 07-Dec-2025: 1 (8.3%); 03-Nov-2025: 1 (8.3%); 10-Oct-2025: 1 (8.3%); and 7 other distinct values,07-Dec-2024 | 04-Dec-2024 | 10-Oct-2025 | 05-Feb-2025,No quality anomalies detected (Clean)
esakshi_calamity_relief.csv,10,tenure_start_date,DATE,12,12,0,0.0,2,16.67,10,"Jun 4, 2024 12:00:00 AM","Jun 5, 2024 12:00:00 AM",,,,"Jun 4, 2024 12:00:00 AM: 10 (83.3%); Jun 5, 2024 12:00:00 AM: 2 (16.7%)","Jun 4, 2024 12:00:00 AM | Jun 5, 2024 12:00:00 AM",No quality anomalies detected (Clean)
esakshi_calamity_relief.csv,11,tenure_end_date,DATE,12,12,0,0.0,1,8.33,11,"Jun 3, 2029 11:59:59 PM","Jun 3, 2029 11:59:59 PM",,,,"Jun 3, 2029 11:59:59 PM: 12 (100.0%)","Jun 3, 2029 11:59:59 PM",Single unique value across all rows
esakshi_constituencies.csv,1,constituency_id,INTEGER,543,543,0,0.0,543,100.0,0,1,548,274.24,274.00,157.45,Min: 1 | Q1: 138.50 | Med: 274.00 | Q3: 410.50 | Max: 548,231 | 127 | 38 | 32,"Candidate Primary Key (100% unique, 0% null)"
esakshi_constituencies.csv,2,state_id,INTEGER,543,543,0,0.0,36,6.63,507,1,130,25.55,25.00,21.91,Min: 1 | Q1: 16.00 | Med: 25.00 | Q3: 33.00 | Max: 130,3 | 5 | 23 | 30,No quality anomalies detected (Clean)
esakshi_constituencies.csv,3,state_name,STRING,543,543,0,0.0,36,6.63,507,Goa,The Dadra And Nagar Haveli And Daman And Diu,,,,Uttar Pradesh: 80 (14.7%); Maharashtra: 48 (8.8%); West Bengal: 42 (7.7%); Bihar: 40 (7.4%); and 32 other distinct values,Karnataka | Tamil Nadu | Jammu And Kashmir | Ladakh,No quality anomalies detected (Clean)
esakshi_constituencies.csv,4,constituency_name,STRING,543,543,0,0.0,543,100.0,0,Agra,Andaman And Nicobar Islands,,,,Andaman And Nicobar Islands: 1 (0.2%); Anakapalle: 1 (0.2%); Hindupur: 1 (0.2%); Vijayawada: 1 (0.2%); and 539 other distinct values,Hathras | Bhagalpur | Nizamabad | Sivaganga,"Candidate Primary Key (100% unique, 0% null)"
esakshi_constituencies.csv,5,raw_caption,STRING,543,543,0,0.0,543,100.0,0,ASKA,ANDAMAN AND NICOBAR ISLANDS,,,,ANDAMAN AND NICOBAR ISLANDS: 1 (0.2%); ANAKAPALLE: 1 (0.2%); HINDUPUR: 1 (0.2%); VIJAYAWADA: 1 (0.2%); and 539 other distinct values,RAJGARH | BEGUSARAI | HARDOI (SC) | PATHANAMTHITTA,"Candidate Primary Key (100% unique, 0% null)"
esakshi_constituencies.csv,6,reservation_category,STRING,543,543,0,0.0,3,0.55,540,SC,General,,,,General: 417 (76.8%); SC: 82 (15.1%); ST: 44 (8.1%),SC | ST | General,No quality anomalies detected (Clean)
esakshi_national_summary.csv,1,metric_key,STRING,6,6,0,0.0,6,100.0,0,Works Completed,Expenditure on Completed and On-going Works as on Date,,,,Allocated Limit for Hon'ble MPs: 1 (16.7%); Expenditure on Completed and On-going Works as on Date: 1 (16.7%); Works Recommended: 1 (16.7%); Works Completed: 1 (16.7%); and 2 other distinct values,Works Recommended | Expenditure on Completed and On-going Works as on Date | Allocated Limit for Hon'ble MPs | Amount consented for Calamity,"Candidate Primary Key (100% unique, 0% null)"
esakshi_national_summary.csv,2,metric_description,STRING,6,6,0,0.0,6,100.0,0,Works Completed,Expenditure on Completed and On-going Works as on Date,,,,Allocated Limit for Hon'ble MPs: 1 (16.7%); Expenditure on Completed and On-going Works as on Date: 1 (16.7%); Works Recommended: 1 (16.7%); Works Completed: 1 (16.7%); and 2 other distinct values,Works Recommended | Expenditure on Completed and On-going Works as on Date | Allocated Limit for Hon'ble MPs | Amount consented for Calamity,"Candidate Primary Key (100% unique, 0% null)"
esakshi_national_summary.csv,3,count_works,INTEGER,6,4,2,33.33,4,100.0,0,12,107539,55504.00,57232.50,41236.90,Min: 12 | Q1: 26082.00 | Med: 57232.50 | Q3: 86654.50 | Max: 107539,107539 | 79693 | 12 | 34772,Moderate missingness (33.33% null)
esakshi_national_summary.csv,4,amount_inr,FLOAT,6,6,0,0.0,6,100.0,0,40567400.00,83336673298.01,37999382067.09,34956229731.84,27199271171.82,Min: 40567400.00 | Q1: 19770893726.66 | Med: 34956229731.84 | Q3: 53737165319.89 | Max: 83336673298.01,27913744688.45 | 41998714775.23 | 57649982168.11 | 40567400.00,"Candidate Primary Key (100% unique, 0% null)"
esakshi_national_summary.csv,5,amount_crores,FLOAT,6,6,0,0.0,6,100.0,0,4.06,8333.67,3799.94,3495.62,2719.93,Min: 4.06 | Q1: 1977.09 | Med: 3495.62 | Q3: 5373.72 | Max: 8333.67,4.06 | 2791.37 | 8333.67 | 1705.66,"Candidate Primary Key (100% unique, 0% null)"
esakshi_states.csv,1,state_id,INTEGER,36,36,0,0.0,36,100.0,0,1,130,25.33,20.50,27.15,Min: 1 | Q1: 11.75 | Med: 20.50 | Q3: 29.25 | Max: 130,3 | 5 | 23 | 30,"Candidate Primary Key (100% unique, 0% null)"
esakshi_states.csv,2,state_name,STRING,36,36,0,0.0,36,100.0,0,Goa,The Dadra And Nagar Haveli And Daman And Diu,,,,Andaman And Nicobar Islands: 1 (2.8%); Andhra Pradesh: 1 (2.8%); Arunachal Pradesh: 1 (2.8%); Assam: 1 (2.8%); and 32 other distinct values,Karnataka | Tamil Nadu | Jammu And Kashmir | Ladakh,"Candidate Primary Key (100% unique, 0% null)"
esakshi_states.csv,3,category,STRING,36,36,0,0.0,2,5.56,34,State,Union Territory,,,,State: 28 (77.8%); Union Territory: 8 (22.2%),State | Union Territory,No quality anomalies detected (Clean)
financials.csv,1,project_id,STRING,20,20,0,0.0,20,100.0,0,MPLADS-2024-0001,MPLADS-2024-0020,,,,MPLADS-2024-0001: 1 (5.0%); MPLADS-2024-0002: 1 (5.0%); MPLADS-2024-0003: 1 (5.0%); MPLADS-2024-0004: 1 (5.0%); and 16 other distinct values,MPLADS-2024-0009 | MPLADS-2024-0020 | MPLADS-2024-0001 | MPLADS-2024-0005,"Candidate Primary Key (100% unique, 0% null)"
financials.csv,2,currency,STRING,20,20,0,0.0,1,5.0,19,INR,INR,,,,INR: 20 (100.0%),INR,Single unique value across all rows
financials.csv,3,recommended_amount,FLOAT,20,20,0,0.0,16,80.0,4,800000.00,5000000.00,2640000.00,2350000.00,1226947.43,Min: 800000.00 | Q1: 1575000.00 | Med: 2350000.00 | Q3: 3625000.00 | Max: 5000000.00,2000000.0 | 3000000.0 | 2200000.0 | 1800000.0,No quality anomalies detected (Clean)
financials.csv,4,sanctioned_amount,FLOAT,20,20,0,0.0,16,80.0,4,800000.00,4800000.00,2570000.00,2250000.00,1165804.44,Min: 800000.00 | Q1: 1575000.00 | Med: 2250000.00 | Q3: 3350000.00 | Max: 4800000.00,2000000.0 | 3000000.0 | 1800000.0 | 1500000.0,No quality anomalies detected (Clean)
financials.csv,5,released_amount,FLOAT,20,20,0,0.0,15,75.0,5,800000.00,4000000.00,1697500.00,1500000.00,753072.87,Min: 800000.00 | Q1: 1150000.00 | Med: 1500000.00 | Q3: 2025000.00 | Max: 4000000.00,2000000.0 | 1400000.0 | 1800000.0 | 1500000.0,No quality anomalies detected (Clean)
financials.csv,6,expenditure_amount,FLOAT,20,20,0,0.0,20,100.0,0,100000.00,3950000.00,1296000.00,1290000.00,898144.75,Min: 100000.00 | Q1: 710000.00 | Med: 1290000.00 | Q3: 1562500.00 | Max: 3950000.00,1500000.0 | 100000.0 | 300000.0 | 800000.0,"Candidate Primary Key (100% unique, 0% null)"
financials.csv,7,utilization_rate_pct,FLOAT,20,20,0,0.0,18,90.0,2,12.50,98.75,70.63,87.50,29.70,Min: 12.50 | Q1: 45.53 | Med: 87.50 | Q3: 97.68 | Max: 98.75,98.21 | 96.67 | 90.0 | 97.5,No quality anomalies detected (Clean)
financials.csv,8,cost_overrun_amount,FLOAT,20,20,0,0.0,2,10.0,18,0.00,50000.00,5000.00,0.00,15000.00,Min: 0.00 | Q1: 0.00 | Med: 0.00 | Q3: 0.00 | Max: 50000.00,50000.0 | 0.0,No quality anomalies detected (Clean)
financials.csv,9,cost_overrun_pct,FLOAT,20,20,0,0.0,3,15.0,17,0.00,1.32,0.13,0.00,0.38,Min: 0.00 | Q1: 0.00 | Med: 0.00 | Q3: 0.00 | Max: 1.32,1.32 | 1.19 | 0.0,No quality anomalies detected (Clean)
financials.csv,10,last_disbursement_date,DATE,20,20,0,0.0,20,100.0,0,2024-07-10,2024-09-28,,,,2024-07-25: 1 (5.0%); 2024-08-20: 1 (5.0%); 2024-09-05: 1 (5.0%); 2024-07-15: 1 (5.0%); and 16 other distinct values,2024-09-15 | 2024-08-01 | 2024-09-12 | 2024-08-28,"Candidate Primary Key (100% unique, 0% null)"
master_dim_states_constituencies.csv,1,state_id,INTEGER,36,36,0,0.0,36,100.0,0,1,130,25.33,20.50,27.15,Min: 1 | Q1: 11.75 | Med: 20.50 | Q3: 29.25 | Max: 130,3 | 5 | 23 | 30,"Candidate Primary Key (100% unique, 0% null)"
master_dim_states_constituencies.csv,2,state_name,STRING,36,36,0,0.0,36,100.0,0,Goa,The Dadra And Nagar Haveli And Daman And Diu,,,,Andaman And Nicobar Islands: 1 (2.8%); Andhra Pradesh: 1 (2.8%); Arunachal Pradesh: 1 (2.8%); Assam: 1 (2.8%); and 32 other distinct values,Karnataka | Tamil Nadu | Jammu And Kashmir | Ladakh,"Candidate Primary Key (100% unique, 0% null)"
master_dim_states_constituencies.csv,3,category,STRING,36,36,0,0.0,2,5.56,34,State,Union Territory,,,,State: 28 (77.8%); Union Territory: 8 (22.2%),State | Union Territory,No quality anomalies detected (Clean)
master_dim_states_constituencies.csv,4,total_lok_sabha_seats,INTEGER,36,36,0,0.0,21,58.33,15,1,80,15.08,8.50,17.49,Min: 1 | Q1: 2.00 | Med: 8.50 | Q3: 25.00 | Max: 80,5 | 42 | 10 | 7,No quality anomalies detected (Clean)
master_dim_states_constituencies.csv,5,general_seats,INTEGER,36,36,0,0.0,21,58.33,15,0,63,11.58,6.00,13.81,Min: 0 | Q1: 1.00 | Med: 6.00 | Q3: 18.25 | Max: 63,3 | 5 | 30 | 32,No quality anomalies detected (Clean)
master_dim_states_constituencies.csv,6,sc_reserved_seats,INTEGER,36,36,0,0.0,10,27.78,26,0,17,2.28,1.00,3.44,Min: 0 | Q1: 0.00 | Med: 1.00 | Q3: 3.25 | Max: 17,3 | 5 | 0 | 1,No quality anomalies detected (Clean)
