s_no,honorific,mp_name,house_of_parliament,tenure,calamity_name,calamity_type,consented_amount_inr,consented_amount_lakhs,consent_date_iso,tenure_start_date_iso,tenure_end_date_iso
1,Shri,Gurjeet Singh Aujla,Lok Sabha,18th Lok Sabha,Flood 2025 in Punjab,National Calamity,7067400.0,70.67,2025-12-07,2024-06-04,2029-06-03
2,,Gurmeet Singh Meet Hayer,Lok Sabha,18th Lok Sabha,Flood 2025 in Punjab,National Calamity,7500000.0,75.0,2025-11-03,2024-06-04,2029-06-03
3,Shri,Jual Oram,Lok Sabha,18th Lok Sabha,Flood 2025 in Punjab,National Calamity,10000000.0,100.0,2025-10-10,2024-06-04,2029-06-03
4,,Krishna Prasad Tenneti,Lok Sabha,18th Lok Sabha,Andhra Pradesh rainfall and consequent floods - 2024,National Calamity,1000000.0,10.0,2025-03-26,2024-06-04,2029-06-03
5,,Shafi Parambil,Lok Sabha,18th Lok Sabha,Meppadi landslides 2024,National Calamity,2500000.0,25.0,2025-03-02,2024-06-05,2029-06-03
6,,Shafi Parambil,Lok Sabha,18th Lok Sabha,Vilangad Landslides 2024,State Calamity,2500000.0,25.0,2025-03-01,2024-06-05,2029-06-03
7,Dr,C N Manjunath,Lok Sabha,18th Lok Sabha,Meppadi landslides 2024,National Calamity,500000.0,5.0,2025-02-17,2024-06-04,2029-06-03
8,,Andimuthu Raja,Lok Sabha,18th Lok Sabha,Meppadi landslides 2024,National Calamity,2500000.0,25.0,2025-02-05,2024-06-04,2029-06-03
9,Shri,Nk Premachandran,Lok Sabha,18th Lok Sabha,Wayanad landslides 2024,State Calamity,1000000.0,10.0,2024-12-07,2024-06-04,2029-06-03
10,Shri,Nk Premachandran,Lok Sabha,18th Lok Sabha,Vilangad Landslides 2024,State Calamity,1000000.0,10.0,2024-12-07,2024-06-04,2029-06-03
11,,K Radhakrishnan,Lok Sabha,18th Lok Sabha,Wayanad landslides 2024,State Calamity,2500000.0,25.0,2024-12-04,2024-06-04,2029-06-03
12,,Biplab Kumar Deb,Lok Sabha,18th Lok Sabha,Natural Calamity Affected Area,State Calamity,2500000.0,25.0,2024-09-03,2024-06-04,2029-06-03
