project_id,currency,recommended_amount,sanctioned_amount,released_amount,expenditure_amount,utilization_rate_pct,cost_overrun_amount,cost_overrun_pct,last_disbursement_date
MPLADS-2024-0001,INR,1500000.0,1500000.0,1500000.0,1450000.0,96.67,0.0,0.0,2024-07-25
MPLADS-2024-0002,INR,2500000.0,2500000.0,2000000.0,1800000.0,90.0,0.0,0.0,2024-08-20
MPLADS-2024-0003,INR,3500000.0,3200000.0,1600000.0,1400000.0,87.5,0.0,0.0,2024-09-05
MPLADS-2024-0004,INR,1200000.0,1200000.0,1200000.0,1180000.0,98.33,0.0,0.0,2024-07-15
MPLADS-2024-0005,INR,4500000.0,4200000.0,2100000.0,1200000.0,57.14,50000.0,1.19,2024-08-10
MPLADS-2024-0006,INR,1800000.0,1800000.0,1800000.0,1750000.0,97.22,0.0,0.0,2024-07-22
MPLADS-2024-0007,INR,2000000.0,2000000.0,1000000.0,400000.0,40.0,0.0,0.0,2024-09-20
MPLADS-2024-0008,INR,800000.0,800000.0,800000.0,780000.0,97.5,0.0,0.0,2024-07-10
MPLADS-2024-0009,INR,4000000.0,4000000.0,4000000.0,3950000.0,98.75,0.0,0.0,2024-07-28
MPLADS-2024-0010,INR,2200000.0,2000000.0,1000000.0,200000.0,20.0,0.0,0.0,2024-09-10
MPLADS-2024-0011,INR,5000000.0,4800000.0,2400000.0,2100000.0,87.5,0.0,0.0,2024-08-01
MPLADS-2024-0012,INR,3000000.0,3000000.0,1500000.0,800000.0,53.33,0.0,0.0,2024-09-15
MPLADS-2024-0013,INR,1800000.0,1800000.0,900000.0,300000.0,33.33,0.0,0.0,2024-09-25
MPLADS-2024-0014,INR,2800000.0,2800000.0,2800000.0,2750000.0,98.21,0.0,0.0,2024-07-18
MPLADS-2024-0015,INR,1600000.0,1600000.0,800000.0,100000.0,12.5,0.0,0.0,2024-09-28
MPLADS-2024-0016,INR,4500000.0,4500000.0,2250000.0,1500000.0,66.67,0.0,0.0,2024-08-28
MPLADS-2024-0017,INR,1400000.0,1400000.0,1400000.0,1380000.0,98.57,0.0,0.0,2024-07-20
MPLADS-2024-0018,INR,4000000.0,3800000.0,1900000.0,900000.0,47.37,50000.0,1.32,2024-07-30
MPLADS-2024-0019,INR,1500000.0,1500000.0,1500000.0,1480000.0,98.67,0.0,0.0,2024-08-02
MPLADS-2024-0020,INR,3200000.0,3000000.0,1500000.0,500000.0,33.33,0.0,0.0,2024-09-12
