risk_score_id,project_id,overall_risk_score,delay_risk_score,cost_overrun_risk_score,non_completion_risk_score,leakage_risk_score,risk_level,confidence_score,assessment_date,model_version
1,MPLADS-2024-0001,5.0,0.0,0.0,0.0,5.0,Low,0.92,2024-11-15,v1.0
2,MPLADS-2024-0002,28.0,25.0,20.0,15.0,10.0,Low,0.92,2024-11-15,v1.0
3,MPLADS-2024-0003,28.0,25.0,20.0,15.0,10.0,Low,0.92,2024-11-15,v1.0
4,MPLADS-2024-0004,5.0,0.0,0.0,0.0,5.0,Low,0.92,2024-11-15,v1.0
5,MPLADS-2024-0005,78.5,85.0,65.0,72.0,25.0,High,0.92,2024-11-15,v1.0
6,MPLADS-2024-0006,5.0,0.0,0.0,0.0,5.0,Low,0.92,2024-11-15,v1.0
7,MPLADS-2024-0007,42.0,45.0,30.0,25.0,15.0,Moderate,0.92,2024-11-15,v1.0
8,MPLADS-2024-0008,5.0,0.0,0.0,0.0,5.0,Low,0.92,2024-11-15,v1.0
9,MPLADS-2024-0009,5.0,0.0,0.0,0.0,5.0,Low,0.92,2024-11-15,v1.0
10,MPLADS-2024-0010,28.0,25.0,20.0,15.0,10.0,Low,0.92,2024-11-15,v1.0
11,MPLADS-2024-0011,28.0,25.0,20.0,15.0,10.0,Low,0.92,2024-11-15,v1.0
12,MPLADS-2024-0012,28.0,25.0,20.0,15.0,10.0,Low,0.92,2024-11-15,v1.0
13,MPLADS-2024-0013,28.0,25.0,20.0,15.0,10.0,Low,0.92,2024-11-15,v1.0
14,MPLADS-2024-0014,5.0,0.0,0.0,0.0,5.0,Low,0.92,2024-11-15,v1.0
15,MPLADS-2024-0015,42.0,45.0,30.0,25.0,15.0,Moderate,0.92,2024-11-15,v1.0
16,MPLADS-2024-0016,28.0,25.0,20.0,15.0,10.0,Low,0.92,2024-11-15,v1.0
17,MPLADS-2024-0017,5.0,0.0,0.0,0.0,5.0,Low,0.92,2024-11-15,v1.0
18,MPLADS-2024-0018,78.5,85.0,65.0,72.0,25.0,High,0.92,2024-11-15,v1.0
19,MPLADS-2024-0019,5.0,0.0,0.0,0.0,5.0,Low,0.92,2024-11-15,v1.0
20,MPLADS-2024-0020,28.0,25.0,20.0,15.0,10.0,Low,0.92,2024-11-15,v1.0
