financial_year,start_year,end_year,scheme_entitlement_per_mp_cr,budget_estimate_cr,revised_estimate_cr,actual_expenditure_cr,be_vs_actual_variance_cr,major_head,status_notes
1993-94,1993,1994,0.05,790.0,790.0,782.0,-8.0,3475,Inception Year (Dec 1993)
1994-95,1994,1995,1.0,790.0,790.0,771.0,-19.0,3475,Implemented
1995-96,1995,1996,1.0,790.0,790.0,763.9,-26.1,3475,Implemented
1996-97,1996,1997,1.0,790.0,778.0,778.0,-12.0,3475,Implemented
1997-98,1997,1998,1.0,790.0,489.0,488.85,-301.15,3475,Implemented
1998-99,1998,1999,2.0,790.0,790.0,789.5,-0.5,3475,Entitlement raised to 2 Cr
1999-00,1999,2000,2.0,1580.0,1390.0,1390.0,-190.0,3475,Implemented
2000-01,2000,2001,2.0,1580.0,2080.0,2080.0,500.0,3475,Implemented
2001-02,2001,2002,2.0,1580.0,1800.0,1800.0,220.0,3475,Implemented
2002-03,2002,2003,2.0,1580.0,1600.0,1600.0,20.0,3475,Implemented
2003-04,2003,2004,2.0,1580.0,1682.0,1682.0,102.0,3475,Implemented
2004-05,2004,2005,2.0,1580.0,1310.0,1310.0,-270.0,3475,Implemented
2005-06,2005,2006,2.0,1580.0,1464.0,1463.95,-116.05,3475,Implemented
2006-07,2006,2007,2.0,1580.0,1475.0,1475.0,-105.0,3475,Implemented
2007-08,2007,2008,2.0,1580.0,1465.0,1465.0,-115.0,3475,Implemented
2008-09,2008,2009,2.0,1580.0,1580.0,1580.0,0.0,3475,Implemented
2009-10,2009,2010,2.0,1580.0,1530.0,1530.0,-50.0,3475,Implemented
2010-11,2010,2011,2.0,1580.0,1580.0,1558.0,-22.0,3475,Implemented
2011-12,2011,2012,5.0,1580.0,2980.0,2950.0,1370.0,3475,Entitlement raised to 5 Cr
2012-13,2012,2013,5.0,3950.0,3950.0,3945.5,-4.5,3475,Implemented
2013-14,2013,2014,5.0,3950.0,3950.0,3894.0,-56.0,3475,Implemented
2014-15,2014,2015,5.0,3950.0,3500.0,3314.5,-635.5,3475,Implemented
2015-16,2015,2016,5.0,3950.0,3500.0,3497.0,-453.0,3475,Implemented
2016-17,2016,2017,5.0,3950.0,3500.0,3489.2,-460.8,3475,2016 Guidelines Implemented
2017-18,2017,2018,5.0,3950.0,3950.0,3949.0,-1.0,3475,Implemented
2018-19,2018,2019,5.0,3950.0,3950.0,3949.5,-0.5,3475,Implemented
2019-20,2019,2020,5.0,3965.0,2492.0,2491.5,-1473.5,3475,Implemented
2020-21,2020,2021,0.0,3965.0,100.0,99.4,-3865.6,3475,Suspended for COVID-19 relief
2021-22,2021,2022,2.0,200.0,1500.0,1498.0,1298.0,3475,Restored (One tranche of 2 Cr)
2022-23,2022,2023,5.0,3950.0,3950.0,3948.0,-2.0,3475,Final Year of Legacy WMS
2023-24,2023,2024,5.0,3950.0,3950.0,3945.0,-5.0,3475,e-SAKSHI & CNA Reform Operational
2024-25,2024,2025,5.0,3950.0,3950.0,3920.0,-30.0,3475,18th Lok Sabha Transition
2025-26,2025,2026,5.0,3950.0,,,,3475,Budget Estimate (Target)
